Age Group,AI Expertise,Question Number,Scenario,Options,Mapping,Weight,Ethical Score
0-12,Intermediate,2,For learning to code,A – Use AI to write all your code.,High AI impact,1-2,0
0-12,Intermediate,2,For learning to code,"B – Use AI to explain concepts, write code yourself.",Balanced AI use,3-4,1
0-12,Intermediate,2,For learning to code,C – Write all code yourself from tutorials.,Low-impact conscious use,5-6,2
0-12,Intermediate,3,For creating digital art,A – Create all artwork yourself in drawing apps.,Low-impact conscious use,5-6,2
0-12,Intermediate,3,For creating digital art,B – Generate all artwork with AI.,High AI impact,1-2,0
0-12,Intermediate,3,For creating digital art,"C – Use AI for references and ideas, create yourself.",Balanced AI use,3-4,1
0-12,Intermediate,4,For writing short stories,"A – Use AI for plot ideas, write the story yourself.",Balanced AI use,3-4,1
0-12,Intermediate,4,For writing short stories,B – Use AI to write the whole story.,High AI impact,1-2,0
0-12,Intermediate,4,For writing short stories,C – Write the full story yourself.,Low-impact conscious use,5-6,2
0-12,Intermediate,5,For making presentations,A – Let AI build the entire presentation.,High AI impact,1-2,0
0-12,Intermediate,5,For making presentations,"B – Use AI for structure, add your own content.",Balanced AI use,3-4,1
0-12,Intermediate,5,For making presentations,C – Build and design the whole presentation yourself.,Low-impact conscious use,5-6,2
0-12,Intermediate,6,For music composition,"A – Use AI for chord ideas, compose the melody yourself.",Balanced AI use,3-4,1
0-12,Intermediate,6,For music composition,B – Use AI to compose all the music.,High AI impact,1-2,0
0-12,Intermediate,6,For music composition,C – Compose everything yourself or on an instrument.,Low-impact conscious use,5-6,2
0-12,Intermediate,7,For interactive learning games,A – Use AI games only for difficult subjects.,Balanced AI use,3-4,1
0-12,Intermediate,7,For interactive learning games,B – Use AI games for all your studying.,High AI impact,1-2,0
0-12,Intermediate,7,For interactive learning games,C – Use books and non-AI games most of the time.,Low-impact conscious use,5-6,2
0-12,Intermediate,8,For creating animations,"A – Use AI for backgrounds, animate characters yourself.",Balanced AI use,3-4,1
0-12,Intermediate,8,For creating animations,B – Create all frames manually.,Low-impact conscious use,5-6,2
0-12,Intermediate,8,For creating animations,C – Use AI to generate all animation frames.,High AI impact,1-2,0
0-12,Intermediate,9,For building simple websites,A – Use AI to build and write the whole website.,High AI impact,1-2,0
0-12,Intermediate,9,For building simple websites,B – Build the website from scratch with a guide.,Low-impact conscious use,5-6,2
0-12,Intermediate,9,For building simple websites,"C – Use AI for code problems, design the site yourself.",Balanced AI use,3-4,1
0-12,Intermediate,10,For science experiments,"A – Use AI to understand the science, design it yourself.",Balanced AI use,3-4,1
0-12,Intermediate,10,For science experiments,B – Ask AI to plan and run the whole experiment.,High AI impact,1-2,0
0-12,Intermediate,10,For science experiments,C – Plan and run the experiment independently.,Low-impact conscious use,5-6,2
0-12,Intermediate,11,For geography learning,A – Study maps and atlases yourself.,Low-impact conscious use,5-6,1
0-12,Intermediate,11,For geography learning,B – Use AI for interactive map exploration.,Balanced AI use,3-4,2
0-12,Intermediate,11,For geography learning,C – Ask AI every geography question.,High AI impact,1-2,0
0-12,Intermediate,12,For public speaking practice,A – Write and practise your speech completely yourself.,Low-impact conscious use,5-6,2
0-12,Intermediate,12,For public speaking practice,"B – Use AI for structure, write and deliver yourself.",Balanced AI use,3-4,1
0-12,Intermediate,12,For public speaking practice,C – Ask AI to write all your speeches.,High AI impact,1-2,0
0-12,Intermediate,13,For creating comic strips,A – Create all panels and dialogue yourself.,Low-impact conscious use,5-6,2
0-12,Intermediate,13,For creating comic strips,B – Use AI to generate all panels and text.,High AI impact,1-2,0
0-12,Intermediate,13,For creating comic strips,"C – Use AI for story ideas, draw all panels yourself.",Balanced AI use,3-4,1
0-12,Intermediate,14,For problem-solving challenges,A – Ask AI for all the answers immediately.,High AI impact,1-2,0
0-12,Intermediate,14,For problem-solving challenges,B – Work through all problems independently.,Low-impact conscious use,5-6,2
0-12,Intermediate,14,For problem-solving challenges,"C – Try yourself first, use AI only as a hint.",Balanced AI use,3-4,1
0-12,Intermediate,15,For book summaries,A – Ask AI to summarise every book.,High AI impact,1-2,0
0-12,Intermediate,15,For book summaries,B – Read and summarise every book yourself.,Low-impact conscious use,5-6,2
0-12,Intermediate,15,For book summaries,"C – Read the book, use AI to check key themes.",Balanced AI use,3-4,1
0-12,Intermediate,16,For nature identification,A – Use AI to learn about specific things you found.,Balanced AI use,3-4,2
0-12,Intermediate,16,For nature identification,B – Use field guides and observation to identify.,Low-impact conscious use,5-6,1
0-12,Intermediate,16,For nature identification,C – Use AI to identify everything automatically.,High AI impact,1-2,0
0-12,Intermediate,17,For environmental projects,A – Research with books and field visits.,Low-impact conscious use,5-6,1
0-12,Intermediate,17,For environmental projects,B – Ask AI to plan and write the whole project.,High AI impact,1-2,0
0-12,Intermediate,17,For environmental projects,"C – Use AI for research, plan and present yourself.",Balanced AI use,3-4,2
0-12,Intermediate,18,For reading comprehension,"A – Read yourself, use AI for hard vocabulary.",Balanced AI use,3-4,1
0-12,Intermediate,18,For reading comprehension,B – Use AI to answer all comprehension questions.,High AI impact,1-2,0
0-12,Intermediate,18,For reading comprehension,C – Read and answer all questions independently.,Low-impact conscious use,5-6,2
0-12,Intermediate,19,For creating videos,"A – Use AI to script, edit, and produce videos.",High AI impact,1-2,0
0-12,Intermediate,19,For creating videos,"B – Script, film, and edit everything yourself.",Low-impact conscious use,5-6,2
0-12,Intermediate,19,For creating videos,"C – Script and film yourself, use AI for editing.",Balanced AI use,3-4,1
0-12,Intermediate,20,For learning geography,A – Use AI for specific places you're curious about.,Balanced AI use,3-4,2
0-12,Intermediate,20,For learning geography,B – Ask AI to tell you everything about countries.,High AI impact,1-2,0
0-12,Intermediate,20,For learning geography,C – Study maps and read books yourself.,Low-impact conscious use,5-6,1
0-12,Expert,1,For building simple apps,A – Use AI to debug and explain tricky parts.,Balanced AI use,3-4,1
0-12,Expert,1,For building simple apps,B – Use AI to generate all the app code.,High AI impact,1-2,0
0-12,Expert,1,For building simple apps,C – Write all code yourself following documentation.,Low-impact conscious use,5-6,2
0-12,Expert,2,For understanding how ai works,A – Ask AI for clarification after reading yourself.,Balanced AI use,3-4,1
0-12,Expert,2,For understanding how ai works,B – Ask AI to explain everything about itself.,High AI impact,1-2,0
0-12,Expert,2,For understanding how ai works,C – Study textbooks and run small experiments yourself.,Low-impact conscious use,5-6,2
0-12,Expert,3,For training simple models,A – Build and train a basic model from scratch.,Low-impact conscious use,5-6,2
0-12,Expert,3,For training simple models,B – Use a template and adjust parameters yourself.,Balanced AI use,3-4,1
0-12,Expert,3,For training simple models,C – Use a pre-built model without customising.,High AI impact,1-2,0
0-12,Expert,4,For image recognition basics,A – Write a basic recognition algorithm yourself.,Low-impact conscious use,5-6,2
0-12,Expert,4,For image recognition basics,B – Use a cloud API without understanding it.,High AI impact,1-2,0
0-12,Expert,4,For image recognition basics,C – Use TensorFlow.js and learn what each part does.,Balanced AI use,3-4,1
0-12,Expert,5,For building a chatbot,A – Use a no-code builder for everything.,High AI impact,1-2,0
0-12,Expert,5,For building a chatbot,"B – Use a simple API, write conversation logic yourself.",Balanced AI use,3-4,1
0-12,Expert,5,For building a chatbot,C – Design all logic and responses from scratch.,Low-impact conscious use,5-6,2
0-12,Expert,6,For pattern recognition,"A – Use AI for complex patterns, find simple ones yourself.",Balanced AI use,3-4,1
0-12,Expert,6,For pattern recognition,B – Code the pattern-matching logic yourself.,Low-impact conscious use,5-6,2
0-12,Expert,6,For pattern recognition,C – Use AI to find all patterns automatically.,High AI impact,1-2,0
0-12,Expert,7,For coding a game,A – Code the entire game yourself.,Low-impact conscious use,5-6,2
0-12,Expert,7,For coding a game,B – Use AI to generate all game code.,High AI impact,1-2,0
0-12,Expert,7,For coding a game,C – Use AI to debug and explain logic.,Balanced AI use,3-4,1
0-12,Expert,8,For data collection projects,A – Use AI to collect and analyse all data.,High AI impact,1-2,0
0-12,Expert,8,For data collection projects,"B – Collect data yourself, use AI for cleaning.",Balanced AI use,3-4,1
0-12,Expert,8,For data collection projects,C – Collect and organise all data manually.,Low-impact conscious use,5-6,2
0-12,Expert,9,For making a robot move,A – Programme all robot movements manually.,Low-impact conscious use,5-6,2
0-12,Expert,9,For making a robot move,B – Use AI to control all robot movements.,High AI impact,1-2,0
0-12,Expert,9,For making a robot move,"C – Use AI for path planning, code basic movements yourself.",Balanced AI use,3-4,1
0-12,Expert,10,For ai-powered art projects,A – Use AI to generate all artwork.,High AI impact,1-2,0
0-12,Expert,10,For ai-powered art projects,"B – Create all art yourself, AI only for colour palette.",Low-impact conscious use,5-6,2
0-12,Expert,10,For ai-powered art projects,"C – Use AI for style, create the piece yourself.",Balanced AI use,3-4,1
0-12,Expert,11,For data visualisation,A – Create all visualisations manually.,Low-impact conscious use,5-6,2
0-12,Expert,11,For data visualisation,B – Use AI to create all charts automatically.,High AI impact,1-2,0
0-12,Expert,11,For data visualisation,C – Use a library and write the chart code yourself.,Balanced AI use,3-4,1
0-12,Expert,12,For natural language basics,A – Use a large LLM API without understanding it.,High AI impact,1-2,0
0-12,Expert,12,For natural language basics,B – Write basic text-processing from scratch.,Low-impact conscious use,5-6,2
0-12,Expert,12,For natural language basics,C – Use a simple NLP library and learn what it does.,Balanced AI use,3-4,1
0-12,Expert,13,For automation tasks,A – Use AI to automate everything without review.,High AI impact,1-2,0
0-12,Expert,13,For automation tasks,"B – Automate repetitive tasks, understand each step.",Balanced AI use,3-4,1
0-12,Expert,13,For automation tasks,C – Do tasks manually until you understand them fully.,Low-impact conscious use,5-6,2
0-12,Expert,14,For voice commands programming,"A – Use a speech API, write the command logic yourself.",Balanced AI use,3-4,1
0-12,Expert,14,For voice commands programming,B – Use a pre-built voice AI platform.,High AI impact,1-2,0
0-12,Expert,14,For voice commands programming,C – Code basic voice recognition from scratch.,Low-impact conscious use,5-6,2
0-12,Expert,15,For understanding algorithms,A – Ask AI to clarify things you can't understand yourself.,Balanced AI use,3-4,1
0-12,Expert,15,For understanding algorithms,B – Ask AI to explain every algorithm.,High AI impact,1-2,0
0-12,Expert,15,For understanding algorithms,C – Study algorithms in books and solve independently.,Low-impact conscious use,5-6,2
0-12,Expert,16,For ai ethics for kids,"A – Read and discuss with adults, form views yourself.",Low-impact conscious use,5-6,2
0-12,Expert,16,For ai ethics for kids,B – Use AI to write all your views on AI ethics.,High AI impact,1-2,0
0-12,Expert,16,For ai ethics for kids,"C – Research with AI, then form your own opinions.",Balanced AI use,3-4,1
0-12,Expert,17,For predicting simple outcomes,A – Use an AI model without understanding it.,High AI impact,1-2,0
0-12,Expert,17,For predicting simple outcomes,B – Code a basic prediction rule yourself.,Low-impact conscious use,5-6,2
0-12,Expert,17,For predicting simple outcomes,C – Use a simple tool and understand what it outputs.,Balanced AI use,3-4,1
0-12,Expert,18,For image classification,A – Use a cloud API for all image classification.,High AI impact,1-2,0
0-12,Expert,18,For image classification,B – Use a pre-trained model and evaluate its results.,Balanced AI use,3-4,1
0-12,Expert,18,For image classification,C – Build and train a basic classifier yourself.,Low-impact conscious use,5-6,2
0-12,Expert,19,For solving puzzles with code,A – Solve all puzzles independently.,Low-impact conscious use,5-6,2
0-12,Expert,19,For solving puzzles with code,"B – Try yourself, use AI to check your approach.",Balanced AI use,3-4,1
0-12,Expert,19,For solving puzzles with code,C – Use AI to solve all coding puzzles for you.,High AI impact,1-2,0
0-12,Expert,20,For ai storytelling projects,A – Write the whole story yourself.,Low-impact conscious use,5-6,2
0-12,Expert,20,For ai storytelling projects,B – Use AI to generate the entire story.,High AI impact,1-2,0
0-12,Expert,20,For ai storytelling projects,"C – Co-write with AI, directing the story yourself.",Balanced AI use,3-4,1
13-19,Beginner,1,For study help,A – Ask ChatGPT to write all your notes.,High AI impact,1-2,0
13-19,Beginner,1,For study help,B – Study from textbooks and class notes yourself.,Low-impact conscious use,5-6,2
13-19,Beginner,1,For study help,C – Use AI to explain topics you find hard.,Balanced AI use,3-4,1
13-19,Beginner,2,For social media content,A – Use AI to create all your posts and captions.,High AI impact,1-2,0
13-19,Beginner,2,For social media content,"B – Use AI for caption ideas, add your own voice.",Balanced AI use,3-4,1
13-19,Beginner,2,For social media content,C – Write and create all your own content.,Low-impact conscious use,5-6,2
13-19,Beginner,3,For managing stress,A – Use an AI wellbeing app for everything.,High AI impact,1-2,0
13-19,Beginner,3,For managing stress,"B – Talk to a friend, counsellor, or family member.",Low-impact conscious use,5-6,2
13-19,Beginner,3,For managing stress,C – Use AI for breathing exercises and tips.,Balanced AI use,3-4,1
13-19,Beginner,4,For creative writing,A – Ask AI to write the full piece for you.,High AI impact,1-2,0
13-19,Beginner,4,For creative writing,"B – Ask AI for a story starter, write the rest yourself.",Balanced AI use,3-4,1
13-19,Beginner,4,For creative writing,C – Write the whole piece yourself.,Low-impact conscious use,5-6,2
13-19,Beginner,5,For music discovery,A – Browse playlists and ask friends for recommendations.,Low-impact conscious use,5-6,2
13-19,Beginner,5,For music discovery,"B – Use AI to find new artists, then explore yourself.",Balanced AI use,3-4,1
13-19,Beginner,5,For music discovery,C – Let AI curate all your music automatically.,High AI impact,1-2,0
13-19,Beginner,6,For gaming strategies,A – Figure out strategies yourself or watch gameplay.,Low-impact conscious use,5-6,2
13-19,Beginner,6,For gaming strategies,B – Use AI for specific tips only when really stuck.,Balanced AI use,3-4,1
13-19,Beginner,6,For gaming strategies,C – Ask AI for all strategies and walkthroughs.,High AI impact,1-2,0
13-19,Beginner,7,For understanding the news,A – Ask AI to summarise all the news for you.,High AI impact,1-2,0
13-19,Beginner,7,For understanding the news,B – Use AI to explain complex news stories.,Balanced AI use,3-4,2
13-19,Beginner,7,For understanding the news,C – Read articles and form your own view.,Low-impact conscious use,5-6,1
13-19,Beginner,8,For career exploration,A – Talk to people in jobs you're interested in.,Low-impact conscious use,5-6,2
13-19,Beginner,8,For career exploration,"B – Use AI to research career options, decide yourself.",Balanced AI use,3-4,1
13-19,Beginner,8,For career exploration,C – Let AI decide which career you should choose.,High AI impact,1-2,0
13-19,Beginner,9,For language learning,"A – Use apps, take classes, practise with real people.",Low-impact conscious use,5-6,2
13-19,Beginner,9,For language learning,B – Use AI to translate everything for you.,High AI impact,1-2,0
13-19,Beginner,9,For language learning,C – Use AI to practise conversations.,Balanced AI use,3-4,1
13-19,Beginner,10,For photography editing,A – Edit all your photos manually.,Low-impact conscious use,5-6,1
13-19,Beginner,10,For photography editing,B – Use AI to automatically edit all your photos.,High AI impact,1-2,0
13-19,Beginner,10,For photography editing,"C – Use AI presets, adjust them yourself.",Balanced AI use,3-4,2
13-19,Beginner,11,For understanding ai safety,A – Read articles and talk to trusted adults.,Low-impact conscious use,5-6,2
13-19,Beginner,11,For understanding ai safety,B – Ask AI to manage and explain all safety risks.,High AI impact,1-2,0
13-19,Beginner,11,For understanding ai safety,C – Use AI to learn about digital safety topics.,Balanced AI use,3-4,1
13-19,Beginner,12,For journalling prompts,A – Write freely in your journal without any prompts.,Low-impact conscious use,5-6,2
13-19,Beginner,12,For journalling prompts,B – Ask AI to write all your journal entries.,High AI impact,1-2,0
13-19,Beginner,12,For journalling prompts,"C – Use AI for prompts, write entries yourself.",Balanced AI use,3-4,1
13-19,Beginner,13,For physical fitness,A – Follow a training plan from a coach or book.,Low-impact conscious use,5-6,1
13-19,Beginner,13,For physical fitness,"B – Use AI for workout ideas, adjust to your own needs.",Balanced AI use,3-4,2
13-19,Beginner,13,For physical fitness,C – Use AI to plan all your training automatically.,High AI impact,1-2,0
13-19,Beginner,14,For managing screen time,A – Set your own screen limits with parental support.,Low-impact conscious use,5-6,2
13-19,Beginner,14,For managing screen time,"B – Use AI to track time, set your own rules.",Balanced AI use,3-4,1
13-19,Beginner,14,For managing screen time,C – Let AI manage and control all your screen time.,High AI impact,1-2,0
13-19,Beginner,15,For cooking ideas,A – Use AI for recipe ideas when you have no inspiration.,Balanced AI use,3-4,2
13-19,Beginner,15,For cooking ideas,B – Ask AI what to cook every single day.,High AI impact,1-2,0
13-19,Beginner,15,For cooking ideas,C – Look up recipes in books or ask family.,Low-impact conscious use,5-6,1
13-19,Beginner,16,For finding reliable information,A – Use AI as your only information source.,High AI impact,1-2,0
13-19,Beginner,16,For finding reliable information,B – Search multiple sources and evaluate them yourself.,Low-impact conscious use,5-6,1
13-19,Beginner,16,For finding reliable information,"C – Use AI to find sources, check them yourself.",Balanced AI use,3-4,2
13-19,Beginner,17,For understanding relationships,"A – Use AI for general tips, trust your instincts.",Balanced AI use,3-4,1
13-19,Beginner,17,For understanding relationships,B – Ask AI for all relationship advice.,High AI impact,1-2,0
13-19,Beginner,17,For understanding relationships,"C – Talk to trusted friends, family, or a counsellor.",Low-impact conscious use,5-6,2
13-19,Beginner,18,For exam preparation,A – Use AI to generate all your study materials.,High AI impact,1-2,0
13-19,Beginner,18,For exam preparation,"B – Use AI for practice questions, study yourself.",Balanced AI use,3-4,2
13-19,Beginner,18,For exam preparation,C – Prepare using past papers and your own notes.,Low-impact conscious use,5-6,1
13-19,Beginner,19,For online safety,A – Let AI manage all your privacy settings.,High AI impact,1-2,0
13-19,Beginner,19,For online safety,B – Use AI to learn about safe online practices.,Balanced AI use,3-4,1
13-19,Beginner,19,For online safety,C – Follow school guidelines and talk to parents.,Low-impact conscious use,5-6,2
13-19,Beginner,20,For travel planning,A – Ask AI to plan every detail of your trip.,High AI impact,1-2,0
13-19,Beginner,20,For travel planning,"B – Use AI for destination ideas, plan the rest yourself.",Balanced AI use,3-4,2
13-19,Beginner,20,For travel planning,C – Research and plan the trip yourself.,Low-impact conscious use,5-6,1
13-19,Intermediate,1,For academic research,"A – Use AI to find sources, research and write yourself.",Balanced AI use,3-4,2
13-19,Intermediate,1,For academic research,B – Use AI to research and write your full paper.,High AI impact,1-2,0
13-19,Intermediate,1,For academic research,"C – Research using academic sources, AI for citations only.",Low-impact conscious use,5-6,1
13-19,Intermediate,2,For creating digital content,A – Use AI to generate all content you post.,High AI impact,1-2,0
13-19,Intermediate,2,For creating digital content,"B – Use AI for ideas, create all content yourself.",Balanced AI use,3-4,1
13-19,Intermediate,2,For creating digital content,C – Create all content from scratch yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,3,For ai companion / mental health,A – Use an AI companion as your main emotional support.,High AI impact,1-2,0
13-19,Intermediate,3,For ai companion / mental health,B – Journal yourself and talk to friends or a counsellor.,Low-impact conscious use,5-6,2
13-19,Intermediate,3,For ai companion / mental health,"C – Use AI for mood tracking, talk to real people too.",Balanced AI use,3-4,1
13-19,Intermediate,4,For college application essays,A – Ask AI to write your whole personal statement.,High AI impact,1-2,0
13-19,Intermediate,4,For college application essays,B – Write the essay completely yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,4,For college application essays,"C – Use AI for structure, write in your own voice.",Balanced AI use,3-4,1
13-19,Intermediate,5,For learning to code,A – Use AI to write all your code.,High AI impact,1-2,0
13-19,Intermediate,5,For learning to code,B – Use AI to explain concepts and fix bugs.,Balanced AI use,3-4,1
13-19,Intermediate,5,For learning to code,"C – Write code yourself, AI only for documentation.",Low-impact conscious use,5-6,2
13-19,Intermediate,6,For building a portfolio,"A – Use AI for layout ideas, write descriptions yourself.",Balanced AI use,3-4,1
13-19,Intermediate,6,For building a portfolio,B – Use AI to write all portfolio descriptions.,High AI impact,1-2,0
13-19,Intermediate,6,For building a portfolio,C – Build and write everything yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,7,For debate preparation,A – Research and develop all arguments yourself.,Low-impact conscious use,5-6,2
13-19,Intermediate,7,For debate preparation,"B – Use AI for counterarguments, form your own views first.",Balanced AI use,3-4,1
13-19,Intermediate,7,For debate preparation,C – Use AI to find all your arguments.,High AI impact,1-2,0
13-19,Intermediate,8,For social media strategy,A – Manage your own social media entirely yourself.,Low-impact conscious use,5-6,1
13-19,Intermediate,8,For social media strategy,"B – Use AI for analytics, create content yourself.",Balanced AI use,3-4,2
13-19,Intermediate,8,For social media strategy,C – Use AI to run and post all your content.,High AI impact,1-2,0
13-19,Intermediate,9,For mental health journalling,"A – Use AI for prompts, write reflections yourself.",Balanced AI use,3-4,1
13-19,Intermediate,9,For mental health journalling,B – Use AI to reflect and summarise for you.,High AI impact,1-2,0
13-19,Intermediate,9,For mental health journalling,C – Journal freely without AI involvement.,Low-impact conscious use,5-6,2
13-19,Intermediate,10,For exploring career paths,A – Let AI choose your career direction.,High AI impact,1-2,0
13-19,Intermediate,10,For exploring career paths,B – Shadow professionals and talk to mentors.,Low-impact conscious use,5-6,2
13-19,Intermediate,10,For exploring career paths,"C – Use AI to research options, decide yourself.",Balanced AI use,3-4,1
13-19,Intermediate,11,For learning new skills,A – Use AI to do the skill on your behalf.,High AI impact,1-2,0
13-19,Intermediate,11,For learning new skills,"B – Use AI for lessons and guidance, practise yourself.",Balanced AI use,3-4,1
13-19,Intermediate,11,For learning new skills,"C – Learn through courses, books, and direct practice.",Low-impact conscious use,5-6,2
13-19,Intermediate,12,For making music,A – Use AI to produce your entire track.,High AI impact,1-2,0
13-19,Intermediate,12,For making music,"B – Compose, record, and produce entirely yourself.",Low-impact conscious use,5-6,2
13-19,Intermediate,12,For making music,"C – Use AI for beats and effects, compose yourself.",Balanced AI use,3-4,1
13-19,Intermediate,13,For sports performance,"A – Train with your coach, no AI involved.",Low-impact conscious use,5-6,1
13-19,Intermediate,13,For sports performance,"B – Use AI for data tracking, your coach decides training.",Balanced AI use,3-4,2
13-19,Intermediate,13,For sports performance,C – Use AI to automate all your training plans.,High AI impact,1-2,0
13-19,Intermediate,14,For environmental activism,A – Research and advocate entirely yourself.,Low-impact conscious use,5-6,1
13-19,Intermediate,14,For environmental activism,"B – Use AI for research, write and speak yourself.",Balanced AI use,3-4,2
